N,d_cpdag,TPR,FPR,Time
1000,29,0.41025641,0.016620499,1.820608139
2000,26,0.435897436,0.011080332,1.300723076
3000,29,0.435897436,0.016620499,1.26773119
4000,29,0.435897436,0.016620499,1.361410141
5000,26,0.435897436,0.011080332,1.236743927
6000,22,0.512820513,0.008310249,1.144127131
7000,26,0.435897436,0.011080332,1.106356859
8000,26,0.435897436,0.011080332,1.025124073
9000,22,0.512820513,0.008310249,1.208874702
10000,22,0.512820513,0.008310249,1.32262516
