dataset,iter,SHD,TPR,FPR,d_cpdag,Time
13pathfinder,1,1.0,0.9948717948717949,0.0,2,2.9190852642059326
13pathfinder,2,9.0,0.9692307692307692,0.0005990073592332706,15,3.125617742538452
13pathfinder,3,8.0,0.9743589743589743,0.0004278623994523361,11,3.0902271270751953
13pathfinder,4,6.0,0.9794871794871794,0.0003422899195618689,9,2.6962010860443115
13pathfinder,5,4.0,0.9846153846153847,0.00025671743967140166,8,2.6163909435272217
13pathfinder,6,7.0,0.9743589743589743,0.0003422899195618689,11,2.8823471069335938
13pathfinder,7,3.0,0.9897435897435898,0.00025671743967140166,6,3.2074432373046875
13pathfinder,8,5.0,0.9794871794871794,0.00025671743967140166,9,2.5607869625091553
13pathfinder,9,4.0,0.9846153846153847,0.00025671743967140166,7,2.4626071453094482
13pathfinder,10,7.0,0.9743589743589743,0.0005134348793428033,12,2.9975438117980957
14munin,1,14.0,0.8608058608058609,0.0014567491186667832,104,13.328661918640137
14munin,2,11.0,0.8534798534798534,0.0014276141362934475,106,12.941500186920166
14munin,3,13.0,0.8534798534798534,0.0014858841010401188,107,12.362041234970093
14munin,4,12.0,0.8571428571428571,0.0014276141362934475,104,13.141184091567993
14munin,5,13.0,0.8534798534798534,0.0014858841010401188,105,13.060148000717163
14munin,6,11.0,0.8644688644688645,0.0013402091891734406,99,11.788526058197021
14munin,7,12.0,0.8498168498168498,0.0014858841010401188,109,12.124184846878052
14munin,8,14.0,0.8498168498168498,0.0015441540657867901,108,12.32168698310852
14munin,9,10.0,0.8571428571428571,0.0013693441715467761,100,12.536782026290894
14munin,10,12.0,0.8571428571428571,0.0014276141362934475,104,13.069313049316406
15andes,1,1.0,0.9970414201183432,0.0,2,165.79721808433533
15andes,2,1.0,0.9970414201183432,0.0,2,159.67400407791138
15andes,3,1.0,0.9970414201183432,0.0,2,153.07349133491516
15andes,4,1.0,0.9970414201183432,0.0,2,149.57555389404297
15andes,5,1.0,0.9970414201183432,0.0,2,159.2367558479309
15andes,6,1.0,0.9970414201183432,0.0,2,155.99180126190186
15andes,7,1.0,0.9970414201183432,0.0,2,149.6253378391266
15andes,8,2.0,0.9970414201183432,2.024660363224069e-05,3,167.6164448261261
15andes,9,1.0,0.9970414201183432,0.0,2,154.1409192085266
15andes,10,1.0,0.9970414201183432,0.0,2,170.58206701278687
16diabetes,1,26.0,0.9568106312292359,0.0002941747515694223,104,439.77935910224915
16diabetes,2,27.0,0.9568106312292359,0.00030005824660081075,105,655.2944850921631
16diabetes,3,26.0,0.9551495016611296,0.00030005824660081075,105,519.045608997345
16diabetes,4,26.0,0.9551495016611296,0.00030005824660081075,105,647.253274679184
16diabetes,5,27.0,0.9551495016611296,0.0003059417416321992,107,753.5526578426361
16diabetes,6,28.0,0.9568106312292359,0.0003059417416321992,106,443.46412801742554
16diabetes,7,27.0,0.9551495016611296,0.0003059417416321992,107,662.7304480075836
16diabetes,8,27.0,0.9551495016611296,0.0003059417416321992,107,674.1834421157837
16diabetes,9,26.0,0.9568106312292359,0.0002941747515694223,104,430.6432580947876
16diabetes,10,26.0,0.9568106312292359,0.0002941747515694223,103,691.8435382843018
