dataset,k,d_cpdag,TPR,FPR,Time
13pathfinder,1,210,0.6717948717948717,0.002284308557371288,0.3052060604095459
13pathfinder,2,202,0.6461538461538462,0.002635740643120717,0.2560586929321289
13pathfinder,3,238,0.6307692307692307,0.004744333157617291,0.35965895652770996
13pathfinder,4,214,0.6,0.002987172728870146,0.4557487964630127
13pathfinder,5,212,0.6461538461538462,0.002635740643120717,0.5834088325500488
13pathfinder,6,196,0.6666666666666666,0.0010542962572482868,0.32501912117004395
13pathfinder,7,200,0.6256410256410256,0.0028114566859954314,0.36661195755004883
13pathfinder,8,242,0.6256410256410256,0.0031628887717448603,0.22809386253356934
13pathfinder,9,221,0.6358974358974359,0.002635740643120717,0.25378894805908203
13pathfinder,10,208,0.6051282051282051,0.0031628887717448603,0.7852978706359863
14munin,1,378,0.9926739926739927,0.01128041578077014,1.7830591201782227
14munin,2,347,0.978021978021978,0.009449562957713206,1.9475908279418945
14munin,3,340,0.989010989010989,0.009213323883770375,1.3601391315460205
14munin,4,309,0.978021978021978,0.008977084809827545,1.6520588397979736
14munin,5,393,0.978021978021978,0.012697850224427121,2.7295172214508057
14munin,6,312,0.989010989010989,0.00815024805102764,2.617017984390259
14munin,7,369,0.9816849816849816,0.010748877864398772,1.0856571197509766
14munin,8,380,0.9706959706959707,0.010985116938341602,1.714271068572998
14munin,9,332,0.978021978021978,0.00909520434679896,0.9235429763793945
14munin,10,353,0.9816849816849816,0.010276399716513111,1.4856739044189453
15andes,1,757,0.9911242603550295,0.01724349784968257,1.6629712581634521
15andes,2,694,0.9940828402366864,0.01462215850911325,1.7717020511627197
15andes,3,736,0.9881656804733728,0.01658816301454024,1.6814510822296143
15andes,4,719,0.9881656804733728,0.015809952897808725,1.4778661727905273
15andes,5,727,0.9940828402366864,0.016751996723325824,1.040221929550171
15andes,6,682,0.985207100591716,0.014294491091542084,2.08406400680542
15andes,7,654,0.9881656804733728,0.013639156256399755,2.4837729930877686
15andes,8,690,0.9940828402366864,0.014581200081916854,2.2569990158081055
15andes,9,718,0.9881656804733728,0.016874872004915012,2.367583751678467
15andes,10,662,0.9911242603550295,0.014253532664345689,1.4492478370666504
16diabetes,1,1395,0.9867109634551495,0.009126852597187367,21.615705966949463
16diabetes,2,1380,0.9833887043189369,0.008807235191060183,18.74788188934326
16diabetes,3,1381,0.9833887043189369,0.00877172214593494,43.83641600608826
16diabetes,4,1449,0.9817275747508306,0.009197878687437853,27.65294075012207
16diabetes,5,1398,0.9883720930232558,0.009138690278895781,19.433922052383423
16diabetes,6,1382,0.9850498338870431,0.00907950187035371,36.28169226646423
16diabetes,7,1394,0.9883720930232558,0.008641507647142384,57.77532887458801
16diabetes,8,1399,0.9916943521594684,0.00902031346181164,31.873352766036987
16diabetes,9,1423,0.978405315614618,0.009588522183815522,26.99372911453247
16diabetes,10,1405,0.9833887043189369,0.009043988825228466,15.831701040267944
