dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
9insurance,1,9,0.39865660667419434,1.0,0.9807692307692307,0.0
9insurance,2,10,0.48704051971435547,2.0,0.9807692307692307,0.0014771048744460858
9insurance,3,9,0.38988733291625977,1.0,0.9807692307692307,0.0
9insurance,4,9,0.44497108459472656,1.0,0.9807692307692307,0.0
9insurance,5,10,0.3489103317260742,2.0,0.9807692307692307,0.0014771048744460858
9insurance,6,9,0.35700273513793945,1.0,0.9807692307692307,0.0
9insurance,7,9,0.4931635856628418,1.0,0.9807692307692307,0.0
9insurance,8,9,0.3509492874145508,1.0,0.9807692307692307,0.0
9insurance,9,9,0.3954465389251709,1.0,0.9807692307692307,0.0
9insurance,10,10,0.5454070568084717,2.0,0.9807692307692307,0.0014771048744460858
10factors,1,11,0.2915489673614502,4.0,0.9558823529411765,0.0015128593040847202
10factors,2,9,0.3089568614959717,2.0,0.9705882352941176,0.0
10factors,3,23,0.2747519016265869,9.0,0.9117647058823529,0.0045385779122541605
10factors,4,9,0.2970454692840576,2.0,0.9705882352941176,0.0
10factors,5,20,0.27474498748779297,9.0,0.8970588235294118,0.0030257186081694403
10factors,6,24,0.31005144119262695,8.0,0.9117647058823529,0.0030257186081694403
10factors,7,17,0.27233338356018066,5.0,0.9264705882352942,0.0
10factors,8,12,0.37045764923095703,5.0,0.9411764705882353,0.0015128593040847202
10factors,9,25,0.3028597831726074,10.0,0.8823529411764706,0.0030257186081694403
10factors,10,16,0.32778501510620117,4.0,0.9411764705882353,0.0
11hfinder,1,2,0.9218485355377197,2.0,0.9696969696969697,0.0
11hfinder,2,2,0.4957706928253174,2.0,0.9696969696969697,0.0
11hfinder,3,2,0.5632081031799316,2.0,0.9696969696969697,0.0
11hfinder,4,2,0.7073287963867188,2.0,0.9696969696969697,0.0
11hfinder,5,2,0.5280075073242188,2.0,0.9696969696969697,0.0
11hfinder,6,2,0.5268216133117676,2.0,0.9696969696969697,0.0
11hfinder,7,2,0.5621030330657959,2.0,0.9696969696969697,0.0
11hfinder,8,2,0.590587854385376,2.0,0.9696969696969697,0.0
11hfinder,9,2,0.49596261978149414,2.0,0.9696969696969697,0.0
11hfinder,10,2,1.4241433143615723,2.0,0.9696969696969697,0.0
12hepar,1,2,1.6639189720153809,1.0,0.991869918699187,0.0
12hepar,2,2,1.780498743057251,1.0,0.991869918699187,0.0
12hepar,3,2,1.521284580230713,1.0,0.991869918699187,0.0
12hepar,4,2,1.062922716140747,1.0,0.991869918699187,0.0
12hepar,5,5,1.3533575534820557,4.0,0.983739837398374,0.0004186728072011723
12hepar,6,2,1.4931209087371826,1.0,0.991869918699187,0.0
12hepar,7,4,1.3863894939422607,3.0,0.983739837398374,0.00020933640360058616
12hepar,8,2,1.0265209674835205,1.0,0.991869918699187,0.0
12hepar,9,2,1.324981451034546,1.0,0.991869918699187,0.0
12hepar,10,2,1.4876806735992432,1.0,0.991869918699187,0.0
