"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"9insurance",4,0.00392389297485352,14,8,7,0.980769230769231,0.00886262924667651
"9insurance",5,0.00387907028198242,12,6,5,0.980769230769231,0.00590841949778434
"9insurance",6,0.00327014923095703,11,4,3,0.980769230769231,0.00295420974889217
"9insurance",7,0.00321698188781738,12,5,4,0.961538461538462,0.00295420974889217
"9insurance",8,0.00403118133544922,19,8,7,0.961538461538462,0.00738552437223043
"9insurance",9,0.00325655937194824,14,6,5,0.961538461538462,0.00443131462333826
"9insurance",10,0.00310611724853516,18,8,7,0.980769230769231,0.00886262924667651
"10factors",1,0.00357460975646973,11,3,3,0.985294117647059,0.00302571860816944
"10factors",2,0.00352311134338379,8,1,1,0.985294117647059,0
"10factors",3,0.00323939323425293,11,2,2,0.985294117647059,0.00151285930408472
"10factors",4,0.00320649147033691,8,1,1,0.985294117647059,0
"10factors",5,0.0032353401184082,8,1,1,0.985294117647059,0
"10factors",6,0.00318336486816406,10,2,2,0.985294117647059,0.00151285930408472
"10factors",7,0.00314974784851074,8,1,1,0.985294117647059,0
"10factors",8,0.00354146957397461,8,1,1,0.985294117647059,0
"10factors",9,0.00331473350524902,12,3,3,0.985294117647059,0.00302571860816944
"10factors",10,0.00319910049438477,12,3,3,0.985294117647059,0.00302571860816944
"11hfinder",1,0.0155386924743652,8,5,4,0.984848484848485,0.000977198697068404
"11hfinder",2,0.038104772567749,9,5,4,0.984848484848485,0.000977198697068404
"11hfinder",3,0.0156517028808594,9,6,5,0.984848484848485,0.00130293159609121
"11hfinder",4,0.0156311988830566,13,8,7,0.984848484848485,0.00195439739413681
"11hfinder",5,0.0953576564788818,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",6,0.0273773670196533,11,6,5,0.984848484848485,0.00130293159609121
"11hfinder",7,0.0339794158935547,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",8,0.0155925750732422,9,6,5,0.984848484848485,0.00130293159609121
"11hfinder",9,0.0157403945922852,9,5,4,0.984848484848485,0.000977198697068404
"11hfinder",10,0.0396440029144287,9,6,5,0.984848484848485,0.00130293159609121
"12hepar",1,0.0544629096984863,17,14,13,0.975609756097561,0.00209336403600586
"12hepar",2,0.0515766143798828,23,21,20,0.983739837398374,0.00376805526481055
"12hepar",3,0.0575916767120361,16,14,13,0.991869918699187,0.00251203684320703
"12hepar",4,0.0300426483154297,13,11,10,0.983739837398374,0.00167469122880469
"12hepar",5,0.0528476238250732,11,9,8,0.983739837398374,0.00125601842160352
"12hepar",6,0.0585625171661377,23,21,20,0.983739837398374,0.00376805526481055
"12hepar",7,0.0566041469573975,13,11,10,0.983739837398374,0.00167469122880469
"12hepar",8,0.0537312030792236,19,16,15,0.975609756097561,0.00251203684320703
"12hepar",9,0.12275242805481,20,18,17,0.983739837398374,0.00314004605400879
"12hepar",10,0.0631535053253174,14,12,11,0.983739837398374,0.00188402763240528
