dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
5rain,6,9,0.02262568473815918,2.0,0.8888888888888888,0.011235955056179775
5rain,7,4,0.09456396102905273,1.0,0.8888888888888888,0.0056179775280898875
5rain,8,4,0.09035158157348633,1.0,0.8888888888888888,0.0056179775280898875
5rain,9,4,0.09702348709106445,1.0,0.8888888888888888,0.0056179775280898875
5rain,10,4,0.08515048027038574,1.0,0.8888888888888888,0.0056179775280898875
6cloud,1,14,0.018419981002807617,3.0,0.8421052631578947,0.008438818565400843
6cloud,2,17,0.08613753318786621,2.0,0.8947368421052632,0.008438818565400843
6cloud,3,14,0.015082836151123047,3.0,0.8421052631578947,0.008438818565400843
6cloud,4,14,0.0989079475402832,3.0,0.8421052631578947,0.008438818565400843
6cloud,5,16,0.018115520477294922,4.0,0.8421052631578947,0.012658227848101266
6cloud,6,17,0.021181821823120117,2.0,0.8947368421052632,0.008438818565400843
6cloud,7,14,0.0963294506072998,3.0,0.8421052631578947,0.008438818565400843
6cloud,8,19,0.09920883178710938,3.0,0.8947368421052632,0.012658227848101266
6cloud,9,14,0.08127331733703613,3.0,0.8421052631578947,0.008438818565400843
6cloud,10,17,0.01606607437133789,2.0,0.8947368421052632,0.008438818565400843
7funnel,1,5,0.10165667533874512,3.0,0.8888888888888888,0.00980392156862745
7funnel,2,5,0.07105803489685059,3.0,0.8888888888888888,0.00980392156862745
7funnel,3,5,0.08304643630981445,3.0,0.8888888888888888,0.00980392156862745
7funnel,4,5,0.01859426498413086,3.0,0.8888888888888888,0.00980392156862745
7funnel,5,5,0.0861060619354248,3.0,0.8888888888888888,0.00980392156862745
7funnel,6,5,0.08753347396850586,3.0,0.8888888888888888,0.00980392156862745
7funnel,7,5,0.10178923606872559,3.0,0.8888888888888888,0.00980392156862745
7funnel,8,5,0.023302078247070312,3.0,0.8888888888888888,0.00980392156862745
7funnel,9,5,0.09179043769836426,3.0,0.8888888888888888,0.00980392156862745
7funnel,10,5,0.09850239753723145,3.0,0.8888888888888888,0.00980392156862745
8galaxy,1,6,0.09941864013671875,3.0,0.9090909090909091,0.007936507936507936
8galaxy,2,3,0.10100150108337402,2.0,0.9090909090909091,0.005291005291005291
8galaxy,3,3,0.0850980281829834,2.0,0.9090909090909091,0.005291005291005291
8galaxy,4,3,0.10169553756713867,2.0,0.9090909090909091,0.005291005291005291
8galaxy,5,3,0.08499264717102051,2.0,0.9090909090909091,0.005291005291005291
8galaxy,6,3,0.09853386878967285,2.0,0.9090909090909091,0.005291005291005291
8galaxy,7,3,0.19516944885253906,2.0,0.9090909090909091,0.005291005291005291
8galaxy,8,3,0.07045793533325195,2.0,0.9090909090909091,0.005291005291005291
8galaxy,9,3,0.0907585620880127,2.0,0.9090909090909091,0.005291005291005291
8galaxy,10,3,0.18673062324523926,2.0,0.9090909090909091,0.005291005291005291
9insurance,1,8,0.392242431640625,1.0,0.9615384615384616,0.0014771048744460858
9insurance,2,9,0.4969799518585205,2.0,0.9615384615384616,0.0029542097488921715
9insurance,3,8,0.4125814437866211,1.0,0.9615384615384616,0.0014771048744460858
9insurance,4,8,0.4373648166656494,1.0,0.9615384615384616,0.0014771048744460858
9insurance,5,9,0.3208658695220947,2.0,0.9615384615384616,0.0029542097488921715
9insurance,6,8,0.3342936038970947,1.0,0.9615384615384616,0.0014771048744460858
9insurance,7,8,0.47634124755859375,1.0,0.9615384615384616,0.0014771048744460858
9insurance,8,8,0.32610368728637695,1.0,0.9615384615384616,0.0014771048744460858
9insurance,9,9,0.382218599319458,2.0,0.9423076923076923,0.0014771048744460858
9insurance,10,9,0.5084166526794434,2.0,0.9615384615384616,0.0029542097488921715
10factors,1,11,0.28256797790527344,4.0,0.9558823529411765,0.0015128593040847202
10factors,2,9,0.2644205093383789,2.0,0.9705882352941176,0.0
10factors,3,23,0.25986361503601074,9.0,0.9117647058823529,0.0045385779122541605
10factors,4,9,0.2784702777862549,2.0,0.9705882352941176,0.0
10factors,5,20,0.261188268661499,9.0,0.8970588235294118,0.0030257186081694403
10factors,6,24,0.23854517936706543,8.0,0.9117647058823529,0.0030257186081694403
10factors,7,17,0.2594308853149414,5.0,0.9264705882352942,0.0
10factors,8,12,0.33510351181030273,5.0,0.9411764705882353,0.0015128593040847202
10factors,9,25,0.28245091438293457,10.0,0.8823529411764706,0.0030257186081694403
10factors,10,16,0.33977580070495605,4.0,0.9411764705882353,0.0
11hfinder,1,5,0.5056686401367188,2.0,0.9545454545454546,0.0003257328990228013
11hfinder,2,7,0.47643470764160156,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,3,7,0.5371668338775635,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,4,7,0.7155137062072754,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,5,7,0.4997899532318115,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,6,7,0.48858046531677246,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,7,7,0.5411279201507568,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,8,7,0.6552069187164307,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,9,7,0.8261590003967285,3.0,0.9545454545454546,0.0006514657980456026
11hfinder,10,7,0.7220029830932617,3.0,0.9545454545454546,0.0006514657980456026
12hepar,1,5,2.9816582202911377,1.0,0.975609756097561,0.0004186728072011723
12hepar,2,6,1.8631134033203125,3.0,0.975609756097561,0.0004186728072011723
12hepar,3,6,1.5756385326385498,3.0,0.975609756097561,0.0004186728072011723
12hepar,4,5,1.0592892169952393,1.0,0.975609756097561,0.0004186728072011723
12hepar,5,9,1.3793320655822754,5.0,0.967479674796748,0.0010466820180029307
12hepar,6,5,1.5116827487945557,1.0,0.975609756097561,0.0004186728072011723
12hepar,7,7,1.4797663688659668,3.0,0.967479674796748,0.0006280092108017584
12hepar,8,5,1.0779542922973633,1.0,0.975609756097561,0.0004186728072011723
12hepar,9,5,1.3866426944732666,1.0,0.975609756097561,0.0004186728072011723
12hepar,10,5,1.5258500576019287,1.0,0.975609756097561,0.0004186728072011723
