"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"11hfinder",10,0.986617565155029,16,11,11,0.833333333333333,0
"12hepar",1,2.62973165512085,42,39,39,0.682926829268293,0
"12hepar",2,2.58275961875916,43,39,39,0.682926829268293,0
"12hepar",3,2.60871982574463,52,38,38,0.691056910569106,0
"12hepar",4,2.62294793128967,42,39,39,0.682926829268293,0
"12hepar",5,2.79880809783936,50,36,36,0.707317073170732,0
"12hepar",6,2.6527955532074,41,38,38,0.691056910569106,0
"12hepar",7,2.81636714935303,52,40,40,0.67479674796748,0
"12hepar",8,2.54378890991211,37,35,35,0.715447154471545,0
"12hepar",9,2.47385597229004,46,42,42,0.658536585365854,0
"12hepar",10,2.67902898788452,36,33,33,0.731707317073171,0
