"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"5rain",3,0.00197887420654297,7,6,6,0.944444444444444,0.0280898876404494
"5rain",4,0.00185108184814453,9,7,7,0.944444444444444,0.0337078651685393
"5rain",5,0.00191926956176758,9,7,7,0.944444444444444,0.0337078651685393
"5rain",6,0.00164532661437988,3,2,2,0.944444444444444,0.00561797752808989
"5rain",7,0.00170540809631348,7,6,6,0.944444444444444,0.0280898876404494
"5rain",8,0.00185585021972656,9,8,8,0.944444444444444,0.0393258426966292
"5rain",9,0.00290966033935547,10,8,8,0.944444444444444,0.0393258426966292
"5rain",10,0.00162768363952637,11,9,9,0.944444444444444,0.0449438202247191
"6cloud",1,0.00206518173217773,10,7,7,0.947368421052632,0.0253164556962025
"6cloud",2,0.00207734107971191,13,9,9,0.947368421052632,0.0337552742616034
"6cloud",3,0.00410771369934082,7,4,4,0.947368421052632,0.0126582278481013
"6cloud",4,0.00213861465454102,16,11,11,0.947368421052632,0.0421940928270042
"6cloud",5,0.00201320648193359,11,5,5,0.947368421052632,0.0168776371308017
"6cloud",6,0.00185084342956543,7,5,5,0.947368421052632,0.0168776371308017
"6cloud",7,0.00174164772033691,7,4,4,0.947368421052632,0.0126582278481013
"6cloud",8,0.00242090225219727,11,8,8,0.947368421052632,0.029535864978903
"6cloud",9,0.00171136856079102,6,4,4,0.947368421052632,0.0126582278481013
"6cloud",10,0.00236177444458008,6,4,4,0.947368421052632,0.0126582278481013
"7funnel",1,0.00268912315368652,8,5,5,0.944444444444444,0.0130718954248366
"7funnel",2,0.00323200225830078,17,9,9,0.944444444444444,0.0261437908496732
"7funnel",3,0.00252461433410645,9,5,5,0.944444444444444,0.0130718954248366
"7funnel",4,0.00205540657043457,14,9,9,0.944444444444444,0.0261437908496732
"7funnel",5,0.0024261474609375,7,5,5,0.944444444444444,0.0130718954248366
"7funnel",6,0.00201249122619629,12,9,9,0.944444444444444,0.0261437908496732
"7funnel",7,0.0024878978729248,8,7,7,0.944444444444444,0.0196078431372549
"7funnel",8,0.00237751007080078,7,5,5,0.944444444444444,0.0130718954248366
"7funnel",9,0.00211858749389648,11,6,6,0.944444444444444,0.0163398692810458
"7funnel",10,0.00271439552307129,15,10,10,0.944444444444444,0.0294117647058824
"8galaxy",1,0.00281524658203125,24,23,23,0.954545454545455,0.0582010582010582
"8galaxy",2,0.00374627113342285,14,14,14,0.954545454545455,0.0343915343915344
"8galaxy",3,0.0022890567779541,20,20,20,0.954545454545455,0.0502645502645503
"8galaxy",4,0.00232315063476562,22,21,21,0.909090909090909,0.0502645502645503
"8galaxy",5,0.00368285179138184,22,22,22,0.954545454545455,0.0555555555555556
"8galaxy",6,0.00283026695251465,20,19,19,0.954545454545455,0.0476190476190476
"8galaxy",7,0.00245285034179688,18,17,17,0.954545454545455,0.0423280423280423
"8galaxy",8,0.00235748291015625,17,16,16,0.954545454545455,0.0396825396825397
"8galaxy",9,0.00275182723999023,16,16,16,0.954545454545455,0.0396825396825397
"8galaxy",10,0.00288271903991699,25,24,24,0.954545454545455,0.0608465608465608
"9insurance",1,0.00374674797058105,30,19,19,0.980769230769231,0.0265878877400295
"9insurance",2,0.0063018798828125,33,24,24,0.980769230769231,0.03397341211226
"9insurance",3,0.00436115264892578,40,31,31,0.980769230769231,0.0443131462333826
"9insurance",4,0.00351905822753906,33,23,23,0.980769230769231,0.0324963072378139
"9insurance",5,0.00361943244934082,44,34,34,0.980769230769231,0.0487444608567208
"9insurance",6,0.00332474708557129,42,31,31,0.980769230769231,0.0443131462333826
"9insurance",7,0.00324487686157227,37,26,26,0.980769230769231,0.0369276218611521
"9insurance",8,0.00323796272277832,42,34,34,0.980769230769231,0.0487444608567208
"9insurance",9,0.00391817092895508,41,29,29,0.980769230769231,0.0413589364844904
"9insurance",10,0.00397419929504395,44,33,33,0.980769230769231,0.0472673559822747
"10factors",1,0.00416016578674316,28,17,17,0.955882352941177,0.0211800302571861
"10factors",2,0.00496983528137207,31,16,16,0.970588235294118,0.0211800302571861
"10factors",3,0.00413632392883301,24,14,14,0.955882352941177,0.0166414523449319
"10factors",4,0.00358724594116211,36,20,20,0.985294117647059,0.0287443267776097
"10factors",5,0.00334525108337402,25,15,15,0.970588235294118,0.0196671709531014
"10factors",6,0.00347614288330078,29,17,17,0.970588235294118,0.0226928895612708
"10factors",7,0.00331544876098633,29,17,17,0.985294117647059,0.0242057488653555
"10factors",8,0.0045478343963623,25,16,16,0.985294117647059,0.0226928895612708
"10factors",9,0.0223350524902344,15,10,10,0.970588235294118,0.0121028744326778
"10factors",10,0.00345921516418457,29,17,17,0.970588235294118,0.0226928895612708
"11hfinder",1,0.0158696174621582,130,109,109,0.96969696969697,0.0348534201954397
"11hfinder",2,0.0667364597320557,122,105,105,0.96969696969697,0.0335504885993485
"11hfinder",3,0.0178892612457275,124,114,114,0.984848484848485,0.0368078175895765
"11hfinder",4,0.0329270362854004,119,102,102,0.96969696969697,0.0325732899022801
"11hfinder",5,0.019963264465332,115,95,95,0.984848484848485,0.0306188925081433
"11hfinder",6,0.0438163280487061,117,100,100,0.96969696969697,0.0319218241042345
"11hfinder",7,0.0156683921813965,93,75,75,0.984848484848485,0.0241042345276873
"11hfinder",8,0.0385081768035889,115,97,97,0.984848484848485,0.0312703583061889
"11hfinder",9,0.0164177417755127,141,121,121,0.984848484848485,0.0390879478827362
"11hfinder",10,0.0169956684112549,112,93,93,0.96969696969697,0.0296416938110749
"12hepar",1,0.056854248046875,149,147,147,0.991869918699187,0.0305631149256856
"12hepar",2,0.148751258850098,177,171,171,0.959349593495935,0.0347498429976973
"12hepar",3,0.0540604591369629,176,173,173,0.967479674796748,0.0353778522084991
"12hepar",4,0.0548896789550781,180,176,176,0.983739837398374,0.036424534226502
"12hepar",5,0.032888650894165,173,169,169,0.959349593495935,0.0343311701904961
"12hepar",6,0.0565755367279053,170,166,166,0.983739837398374,0.0343311701904961
"12hepar",7,0.103573083877563,178,174,174,0.991869918699187,0.0362151978229014
"12hepar",8,0.0587947368621826,157,152,152,0.975609756097561,0.0311911241364873
"12hepar",9,0.05877685546875,157,154,154,0.975609756097561,0.0316097969436885
"12hepar",10,0.0617544651031494,138,136,136,0.975609756097561,0.027841741678878
