dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
5rain,7,2,0.10968518257141113,1.0,0.9444444444444444,0.0
5rain,8,2,0.08663129806518555,1.0,0.9444444444444444,0.0
5rain,9,2,0.02576470375061035,1.0,0.9444444444444444,0.0
5rain,10,2,0.09180927276611328,1.0,0.9444444444444444,0.0
6cloud,1,4,0.17856121063232422,2.0,0.8947368421052632,0.0
6cloud,2,2,0.20608162879943848,1.0,0.9473684210526315,0.0
6cloud,3,4,0.16040802001953125,2.0,0.8947368421052632,0.0
6cloud,4,4,0.07752084732055664,2.0,0.8947368421052632,0.0
6cloud,5,4,0.2009131908416748,2.0,0.8947368421052632,0.0
6cloud,6,2,0.1684408187866211,1.0,0.9473684210526315,0.0
6cloud,7,4,0.059310197830200195,2.0,0.8947368421052632,0.0
6cloud,8,6,0.2113790512084961,3.0,0.9473684210526315,0.008438818565400843
6cloud,9,6,0.020505905151367188,3.0,0.8947368421052632,0.004219409282700422
6cloud,10,2,0.18366742134094238,1.0,0.9473684210526315,0.0
7funnel,1,2,0.0783994197845459,1.0,0.9444444444444444,0.0
7funnel,2,2,0.09511351585388184,1.0,0.9444444444444444,0.0
7funnel,3,2,0.09305953979492188,1.0,0.9444444444444444,0.0
7funnel,4,2,0.08442258834838867,1.0,0.9444444444444444,0.0
7funnel,5,2,0.018027305603027344,1.0,0.9444444444444444,0.0
7funnel,6,2,0.10203266143798828,1.0,0.9444444444444444,0.0
7funnel,7,2,0.09203243255615234,1.0,0.9444444444444444,0.0
7funnel,8,2,0.021212100982666016,1.0,0.9444444444444444,0.0
7funnel,9,2,0.09830307960510254,1.0,0.9444444444444444,0.0
7funnel,10,2,0.08454227447509766,1.0,0.9444444444444444,0.0
8galaxy,1,1,0.18264150619506836,1.0,0.9545454545454546,0.0
8galaxy,2,1,0.06509613990783691,1.0,0.9545454545454546,0.0
8galaxy,3,1,0.10273981094360352,1.0,0.9545454545454546,0.0
8galaxy,4,1,0.09439349174499512,1.0,0.9545454545454546,0.0
8galaxy,5,1,0.1032571792602539,1.0,0.9545454545454546,0.0
8galaxy,6,1,0.08436822891235352,1.0,0.9545454545454546,0.0
8galaxy,7,1,0.08747220039367676,1.0,0.9545454545454546,0.0
8galaxy,8,1,0.09415578842163086,1.0,0.9545454545454546,0.0
8galaxy,9,1,0.09917759895324707,1.0,0.9545454545454546,0.0
8galaxy,10,1,0.18383097648620605,1.0,0.9545454545454546,0.0
9insurance,1,11,0.28745222091674805,3.0,0.9807692307692307,0.0029542097488921715
9insurance,2,9,0.32623791694641113,1.0,0.9807692307692307,0.0
9insurance,3,10,0.2983708381652832,2.0,0.9807692307692307,0.0014771048744460858
9insurance,4,9,0.32847166061401367,1.0,0.9807692307692307,0.0
9insurance,5,9,0.279893159866333,1.0,0.9807692307692307,0.0
9insurance,6,9,0.25150418281555176,2.0,0.9807692307692307,0.0014771048744460858
9insurance,7,9,0.27220702171325684,1.0,0.9807692307692307,0.0
9insurance,8,9,0.25432324409484863,1.0,0.9807692307692307,0.0
9insurance,9,9,0.27643513679504395,1.0,0.9807692307692307,0.0
9insurance,10,9,0.29308485984802246,1.0,0.9807692307692307,0.0
10factors,1,11,0.31323766708374023,4.0,0.9558823529411765,0.0015128593040847202
10factors,2,9,0.22283220291137695,2.0,0.9705882352941176,0.0
10factors,3,23,0.2965352535247803,9.0,0.9117647058823529,0.0045385779122541605
10factors,4,9,0.22249746322631836,2.0,0.9705882352941176,0.0
10factors,5,20,0.27962207794189453,9.0,0.8970588235294118,0.0030257186081694403
10factors,6,26,0.2688271999359131,10.0,0.9117647058823529,0.006051437216338881
10factors,7,19,0.3456578254699707,6.0,0.9264705882352942,0.0015128593040847202
10factors,8,11,0.2770121097564697,4.0,0.9411764705882353,0.0
10factors,9,29,0.20282745361328125,10.0,0.8676470588235294,0.0045385779122541605
10factors,10,18,0.30782318115234375,5.0,0.9411764705882353,0.0015128593040847202
11hfinder,1,2,0.5634613037109375,2.0,0.9696969696969697,0.0
11hfinder,2,2,0.5858254432678223,2.0,0.9696969696969697,0.0
11hfinder,3,3,0.6920359134674072,3.0,0.9696969696969697,0.0003257328990228013
11hfinder,4,2,0.7557885646820068,2.0,0.9696969696969697,0.0
11hfinder,5,2,0.46179842948913574,2.0,0.9696969696969697,0.0
11hfinder,6,2,0.5201318264007568,2.0,0.9696969696969697,0.0
11hfinder,7,2,0.5967631340026855,2.0,0.9696969696969697,0.0
11hfinder,8,2,0.7996320724487305,2.0,0.9696969696969697,0.0
11hfinder,9,2,0.5899479389190674,2.0,0.9696969696969697,0.0
11hfinder,10,2,0.8209521770477295,2.0,0.9696969696969697,0.0
12hepar,1,2,2.0775768756866455,1.0,0.991869918699187,0.0
12hepar,2,2,2.2046096324920654,1.0,0.991869918699187,0.0
12hepar,3,2,1.7300972938537598,1.0,0.991869918699187,0.0
12hepar,4,2,1.3527758121490479,1.0,0.991869918699187,0.0
12hepar,5,5,1.4190282821655273,4.0,0.983739837398374,0.0004186728072011723
12hepar,6,2,1.4693200588226318,1.0,0.991869918699187,0.0
12hepar,7,4,1.9070045948028564,3.0,0.983739837398374,0.00020933640360058616
12hepar,8,2,1.119767665863037,1.0,0.983739837398374,0.00020933640360058616
12hepar,9,2,1.6358411312103271,1.0,0.991869918699187,0.0
12hepar,10,2,2.231602668762207,1.0,0.991869918699187,0.0
